time,south_ILI,north_ILI
2010 week01,2,2.8
2010 week02,1.9,2.5
2010 week03,1.9,2.4
2010 week04,2,2.3
2010 week05,1.6,2.1
2010 week06,1.7,2
2010 week07,2.3,2.7
2010 week08,1.7,1.7
2010 week09,1.4,1.3
2010 week10,1.2,1.1
2010 week11,1.5,1.3
2010 week12,1.4,1.2
2010 week13,1.3,1.2
2010 week14,3.4,3.9
2010 week15,3.4,3.8
2010 week16,3.4,3.8
2010 week17,3.4,3.8
2010 week18,3.7,4.2
2010 week19,3.4,3.9
2010 week20,3.5,4.1
2010 week21,3.6,4
2010 week22,3.7,4.2
2010 week23,3.2,4.3
2010 week24,4,4.6
2010 week25,3.8,4.1
2010 week26,3.7,4.4
2010 week27,4,4
2010 week28,3.8,3.7
2010 week29,3.8,4
2010 week30,4.2,3.9
2010 week31,4,3.9
2010 week32,4.1,3.8
2010 week33,4.2,3.9
2010 week34,4.1,3.8
2010 week35,4.1,3.8
2010 week36,4.1,4.4
2010 week37,3.9,4.8
2010 week38,4.2,3.9
2010 week39,3.3,3.6
2010 week40,3.7,3.5
2010 week41,3.2,3
2010 week42,3.3,3
2010 week43,3.2,3.2
2010 week44,3.2,3.5
2010 week45,3.3,3.6
2010 week46,3,3.6
2010 week47,2.9,3.8
2010 week48,2.8,3.6
2010 week49,2.9,3.7
2010 week50,2.8,3.7
2010 week51,2.9,4
2010 week52,3,4.1
2011 week01,2.9,4.5
2011 week02,3.2,4.4
2011 week03,3.4,4.1
2011 week04,3.5,3.7
2011 week05,4.3,5
2011 week06,3.6,3.4
2011 week07,3.1,3
2011 week08,3.4,2.9
2011 week09,3.3,2.8
2011 week10,3,3
2011 week11,3,3
2011 week12,3.1,2.9
2011 week13,2.8,2.9
2011 week14,3.2,3.3
2011 week15,3.2,3
2011 week16,3.3,3.2
2011 week17,3.5,3.1
2011 week18,3.4,3.2
2011 week19,3.5,3
2011 week20,3.6,3.2
2011 week21,3.5,3
2011 week22,3.3,3.1
2011 week23,3.1,3.3
2011 week24,3.4,3.4
2011 week25,3.5,3.3
2011 week26,3.5,3.5
2011 week27,3.4,3.6
2011 week28,3.3,3.5
2011 week29,3.3,3.2
2011 week30,3.3,3.1
2011 week31,3.4,3.2
2011 week32,3.2,2.9
2011 week33,3.3,2.9
2011 week34,3,2.7
2011 week35,3.1,2.8
2011 week36,3.2,2.9
2011 week37,3.4,3.1
2011 week38,3,3
2011 week39,2.6,2.9
2011 week40,2.75,2.9
2011 week41,2.9,2.9
2011 week42,3,2.9
2011 week43,2.9,2.9
2011 week44,2.8,3.1
2011 week45,2.9,3.1
2011 week46,2.8,3.4
2011 week47,3,3.4
2011 week48,2.9,3.7
2011 week49,3.1,3.5
2011 week50,3.1,3.4
2011 week51,3.3,3.2
2011 week52,3.1,3.4
2012 week01,3.7,3.8
2012 week02,3.4,3.7
2012 week03,3.2,4
2012 week04,4.3,5.4
2012 week05,3.4,3.9
2012 week06,3.4,3.6
2012 week07,3.6,3.5
2012 week08,3.9,3.9
2012 week09,3,3.3
2012 week10,3.2,3.3
2012 week11,3.2,3.2
2012 week12,3.2,3.1
2012 week13,3.1,2.8
2012 week14,3.2,2.8
2012 week15,3,2.7
2012 week16,3,2.6
2012 week17,2.9,2.5
2012 week18,3.4,2.8
2012 week19,3.3,2.6
2012 week20,3.4,2.6
2012 week21,3.2,2.5
2012 week22,3.1,2.7
2012 week23,3,2.7
2012 week24,3.3,2.8
2012 week25,3.3,2.9
2012 week26,3.2,2.8
2012 week27,3.3,2.8
2012 week28,3.4,2.8
2012 week29,3.5,2.9
2012 week30,3.5,2.9
2012 week31,3.2,2.8
2012 week32,3,2.8
2012 week33,2.9,2.8
2012 week34,2.7,2.8
2012 week35,2.7,2.8
2012 week36,2.6,2.8
2012 week37,2.6,2.8
2012 week38,2.6,2.9
2012 week39,2.4,2.8
2012 week40,2.9,3.6
2012 week41,2.2,2.7
2012 week42,2.3,2.8
2012 week43,2.3,2.9
2012 week44,2.3,2.9
2012 week45,2.3,2.8
2012 week46,2.4,2.8
2012 week47,2.3,3
2012 week48,2.2,3.1
2012 week49,2.3,3.2
2012 week50,2.3,3.5
2012 week51,2.5,3.9
2012 week52,2.4,4.2
2013 week01,2.5,4.7
2013 week02,2.7,5.1
2013 week03,2.7,5.1
2013 week04,2.6,4.6
2013 week05,2.7,4.4
2013 week06,2.6,4.5
2013 week07,3.1,5.3
2013 week08,2.5,4
2013 week09,2.4,3.6
2013 week10,2.7,3.4
2013 week11,2.6,3.7
2013 week12,2.6,3.5
2013 week13,2.6,3.6
2013 week14,3.2,3.8
2013 week15,3.3,3.8
2013 week16,3.4,4.1
2013 week17,3.2,3.9
2013 week18,3.6,5.9
2013 week19,3,3.9
