REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2018/08/01 00:30:00,8194.58,54.08,TRADE
NSW1,2018/08/01 01:00:00,8013.31,61.69,TRADE
NSW1,2018/08/01 01:30:00,7804.19,62.68,TRADE
NSW1,2018/08/01 02:00:00,7624.18,61.73,TRADE
NSW1,2018/08/01 02:30:00,7221.2,55.96,TRADE
NSW1,2018/08/01 03:00:00,6968.64,51.10,TRADE
NSW1,2018/08/01 03:30:00,6796.92,52.08,TRADE
NSW1,2018/08/01 04:00:00,6707.5,46.04,TRADE
NSW1,2018/08/01 04:30:00,6706.04,53.70,TRADE
NSW1,2018/08/01 05:00:00,6828.3,55.92,TRADE
NSW1,2018/08/01 05:30:00,7217.47,58.13,TRADE
NSW1,2018/08/01 06:00:00,7666.91,58.94,TRADE
NSW1,2018/08/01 06:30:00,8553.34,82.78,TRADE
NSW1,2018/08/01 07:00:00,9343.03,102.58,TRADE
NSW1,2018/08/01 07:30:00,9771.47,102.06,TRADE
NSW1,2018/08/01 08:00:00,9844.13,107.69,TRADE
NSW1,2018/08/01 08:30:00,9565.31,76.54,TRADE
NSW1,2018/08/01 09:00:00,9106.82,68.78,TRADE
NSW1,2018/08/01 09:30:00,8807.67,59.94,TRADE
NSW1,2018/08/01 10:00:00,8522.95,58.44,TRADE
NSW1,2018/08/01 10:30:00,8291.38,60.24,TRADE
NSW1,2018/08/01 11:00:00,8059.19,59.29,TRADE
NSW1,2018/08/01 11:30:00,7875.89,58.45,TRADE
NSW1,2018/08/01 13:30:00,7587.53,57.02,TRADE
NSW1,2018/08/01 12:00:00,7671.57,60.47,TRADE
NSW1,2018/08/01 12:30:00,7637.41,59.43,TRADE
NSW1,2018/08/01 13:00:00,7580.05,58,TRADE
NSW1,2018/08/01 14:00:00,7636.83,57.18,TRADE
NSW1,2018/08/01 14:30:00,7708.84,61.67,TRADE
NSW1,2018/08/01 15:00:00,7767.75,61.35,TRADE
NSW1,2018/08/01 15:30:00,7857.13,61.38,TRADE
NSW1,2018/08/01 17:30:00,9251.78,78.99,TRADE
NSW1,2018/08/01 16:00:00,8075.85,66.18,TRADE
NSW1,2018/08/01 16:30:00,8275.24,68.67,TRADE
NSW1,2018/08/01 17:00:00,8700.73,74.23,TRADE
NSW1,2018/08/01 19:30:00,10097.01,108.78,TRADE
NSW1,2018/08/01 18:00:00,9976.96,104.56,TRADE
NSW1,2018/08/01 18:30:00,10217.56,192.83,TRADE
NSW1,2018/08/01 19:00:00,10220.43,260.91,TRADE
NSW1,2018/08/01 21:30:00,9468.76,92.14,TRADE
NSW1,2018/08/01 20:00:00,9984.52,99.67,TRADE
NSW1,2018/08/01 20:30:00,9859.1,106.17,TRADE
NSW1,2018/08/01 21:00:00,9704.38,99.39,TRADE
NSW1,2018/08/01 22:00:00,9184.01,103.18,TRADE
NSW1,2018/08/01 22:30:00,9073.95,91.06,TRADE
NSW1,2018/08/01 23:00:00,8763.86,73.67,TRADE
NSW1,2018/08/01 23:30:00,8622.54,73.70,TRADE
NSW1,2018/08/02 00:00:00,8552.59,75.20,TRADE
NSW1,2018/08/02 02:00:00,7739.78,59.13,TRADE
NSW1,2018/08/02 00:30:00,8380.54,71.61,TRADE
NSW1,2018/08/02 01:00:00,8202.55,63.45,TRADE
NSW1,2018/08/02 01:30:00,7982.71,60.46,TRADE
NSW1,2018/08/02 02:30:00,7419.58,59.41,TRADE
NSW1,2018/08/02 03:00:00,7221.96,60.21,TRADE
NSW1,2018/08/02 03:30:00,7036.99,59.04,TRADE
NSW1,2018/08/02 04:00:00,6955.83,58.91,TRADE
NSW1,2018/08/02 07:00:00,9564.89,139.75,TRADE
NSW1,2018/08/02 04:30:00,7010.72,61.50,TRADE
NSW1,2018/08/02 05:00:00,7100.47,59.60,TRADE
NSW1,2018/08/02 05:30:00,7474.52,60.23,TRADE
NSW1,2018/08/02 06:00:00,7955.69,58.14,TRADE
NSW1,2018/08/02 06:30:00,8765.53,81.47,TRADE
NSW1,2018/08/02 07:30:00,9961.62,98.13,TRADE
NSW1,2018/08/02 08:00:00,10113.4,97.84,TRADE
NSW1,2018/08/02 10:00:00,8937.48,62.97,TRADE
NSW1,2018/08/02 08:30:00,9877.18,86.25,TRADE
NSW1,2018/08/02 09:00:00,9478.19,69.02,TRADE
NSW1,2018/08/02 09:30:00,9211.38,65.50,TRADE
NSW1,2018/08/02 10:30:00,8612.51,58.40,TRADE
NSW1,2018/08/02 11:00:00,8372.8,53.79,TRADE
NSW1,2018/08/02 11:30:00,8107.38,53.84,TRADE
NSW1,2018/08/02 12:00:00,7854.04,40.82,TRADE
NSW1,2018/08/02 14:00:00,7852.46,49.95,TRADE
NSW1,2018/08/02 12:30:00,7645.69,45.91,TRADE
NSW1,2018/08/02 13:00:00,7847.86,52.93,TRADE
NSW1,2018/08/02 13:30:00,7843.23,52.86,TRADE
NSW1,2018/08/02 14:30:00,7824.01,55.58,TRADE
NSW1,2018/08/02 15:00:00,7845.35,56.05,TRADE
NSW1,2018/08/02 15:30:00,7977.23,58.27,TRADE
NSW1,2018/08/02 16:00:00,8191.21,61.78,TRADE
NSW1,2018/08/02 17:30:00,9469.1,83.82,TRADE
NSW1,2018/08/02 19:00:00,10518.93,137,TRADE
NSW1,2018/08/02 16:30:00,8502.28,62.96,TRADE
NSW1,2018/08/02 17:00:00,8901.98,68.22,TRADE
NSW1,2018/08/02 18:00:00,10278.38,170.13,TRADE
NSW1,2018/08/02 18:30:00,10509.93,217.38,TRADE
NSW1,2018/08/02 19:30:00,10362.65,98.28,TRADE
NSW1,2018/08/02 20:00:00,10203.27,104.94,TRADE
NSW1,2018/08/02 20:30:00,10071.67,105.97,TRADE
NSW1,2018/08/02 22:30:00,9197,90.08,TRADE
NSW1,2018/08/02 21:00:00,9906.92,110.19,TRADE
NSW1,2018/08/02 21:30:00,9625.42,94.37,TRADE
NSW1,2018/08/02 22:00:00,9295.09,82.63,TRADE
NSW1,2018/08/02 23:00:00,8875.74,81.34,TRADE
NSW1,2018/08/02 23:30:00,8762.45,88.45,TRADE
NSW1,2018/08/03 00:00:00,8607.12,83.03,TRADE
NSW1,2018/08/03 00:30:00,8372.38,78,TRADE
NSW1,2018/08/03 02:30:00,7466.98,68.45,TRADE
NSW1,2018/08/03 01:00:00,8210.05,76.15,TRADE
NSW1,2018/08/03 01:30:00,8028.39,80.85,TRADE
NSW1,2018/08/03 02:00:00,7817.56,72.38,TRADE
NSW1,2018/08/03 03:00:00,7171.55,75,TRADE
NSW1,2018/08/03 03:30:00,7021.19,68.52,TRADE
NSW1,2018/08/03 04:00:00,6912.47,63.87,TRADE
NSW1,2018/08/03 04:30:00,6948.35,66.74,TRADE
NSW1,2018/08/03 07:30:00,9759.41,116.16,TRADE
NSW1,2018/08/03 05:00:00,7033.22,64.10,TRADE
NSW1,2018/08/03 05:30:00,7371.4,63.01,TRADE
NSW1,2018/08/03 06:00:00,7829.78,66.19,TRADE
NSW1,2018/08/03 06:30:00,8589.83,85.08,TRADE
NSW1,2018/08/03 07:00:00,9343.98,102.79,TRADE
NSW1,2018/08/03 08:00:00,9978.08,117.95,TRADE
NSW1,2018/08/03 08:30:00,9801.49,92.69,TRADE
NSW1,2018/08/03 09:00:00,9403.28,83.90,TRADE
NSW1,2018/08/03 11:00:00,8263.49,58.45,TRADE
NSW1,2018/08/03 09:30:00,9071.36,69.57,TRADE
NSW1,2018/08/03 10:00:00,8789.43,63.06,TRADE
NSW1,2018/08/03 10:30:00,8536.82,59.39,TRADE
NSW1,2018/08/03 11:30:00,8080.67,61.83,TRADE
NSW1,2018/08/03 12:00:00,7884.63,57.23,TRADE
NSW1,2018/08/03 12:30:00,7769.59,51.56,TRADE
NSW1,2018/08/03 13:00:00,7703.21,61.01,TRADE
NSW1,2018/08/03 15:00:00,7717.56,64.07,TRADE
NSW1,2018/08/03 13:30:00,7639.92,62.48,TRADE
NSW1,2018/08/03 14:00:00,7700.13,70.05,TRADE
NSW1,2018/08/03 14:30:00,7693.29,64.38,TRADE
NSW1,2018/08/03 15:30:00,7836.06,69.89,TRADE
NSW1,2018/08/03 16:00:00,8067.96,85.66,TRADE
